team,games,win_pct,goldDiff,kills,towers,inhibs,dragons
AFs,195,0.49743589743589745,486.79487179487177,10.887179487179488,6.3076923076923075,1.0717948717948718,1.9333333333333333
AUR,86,0.47674418604651164,-13789.186046511628,13.790697674418604,6.151162790697675,1.0232558139534884,1.9069767441860466
AV,86,0.3953488372093023,-26007.476744186046,12.848837209302326,5.511627906976744,0.8023255813953488,1.627906976744186
BJK,62,0.45161290322580644,-23523.3064516129,13.548387096774194,5.725806451612903,0.9516129032258065,1.6129032258064515
C9,228,0.5833333333333334,15408.881578947368,13.780701754385966,7.0394736842105265,1.2719298245614035,1.8728070175438596
CHF,104,0.6153846153846154,13876.73076923077,14.692307692307692,6.875,1.2115384615384615,1.9326923076923077
CJE,111,0.44144144144144143,-8680.990990990991,10.576576576576576,5.972972972972973,1.009009009009009,2.1171171171171173
CLG,239,0.5313807531380753,-5822.234309623431,13.602510460251047,6.560669456066946,1.1966527196652719,1.9581589958158996
CRW,72,0.4305555555555556,-17604.458333333332,14.972222222222221,5.625,0.9583333333333334,1.7916666666666667
DIG,140,0.44285714285714284,-21512.10714285714,11.135714285714286,5.792857142857143,1.0642857142857143,1.8428571428571427
DP,109,0.46788990825688076,-3191.266055045872,13.706422018348624,6.0,1.036697247706422,1.7798165137614679
DW,89,0.5842696629213483,38386.13483146067,14.258426966292134,6.820224719101123,1.202247191011236,1.898876404494382
FB,95,0.37894736842105264,-13100.621052631579,11.989473684210527,5.28421052631579,0.9578947368421052,1.4210526315789473
FLY,109,0.44954128440366975,-25844.954128440368,12.238532110091743,5.844036697247707,0.9357798165137615,1.6422018348623852
FNC,218,0.5688073394495413,20982.811926605504,13.105504587155963,6.977064220183486,1.1422018348623852,1.9311926605504588
FOX,137,0.31386861313868614,-26171.846715328466,10.452554744525548,5.510948905109489,0.9781021897810219,1.6058394160583942
FW,167,0.6646706586826348,39537.67065868263,13.886227544910179,7.652694610778443,1.5149700598802396,2.3652694610778444
G2,190,0.631578947368421,20624.905263157896,12.9,7.41578947368421,1.5,2.036842105263158
GIA,126,0.31746031746031744,-44140.730158730155,9.706349206349206,5.103174603174603,0.746031746031746,1.3253968253968254
H2K,199,0.5778894472361809,22539.57286432161,12.984924623115578,6.944723618090452,1.2763819095477387,1.934673366834171
HKE,99,0.37373737373737376,-23387.78787878788,12.323232323232324,5.313131313131313,0.7171717171717171,1.9191919191919191
HWA,86,0.3953488372093023,-13556.186046511628,15.244186046511627,5.534883720930233,0.7906976744186046,1.627906976744186
IMT,171,0.5906432748538012,23388.263157894737,14.11111111111111,7.058479532163743,1.2456140350877194,1.9181286549707601
JAG,233,0.4248927038626609,-9245.077253218884,10.643776824034335,5.918454935622318,1.145922746781116,1.9527896995708154
JT,71,0.5915492957746479,3825.6901408450703,12.56338028169014,6.859154929577465,1.2394366197183098,1.8450704225352113
KDM,101,0.32673267326732675,-56391.81188118812,8.861386138613861,4.891089108910891,0.801980198019802,1.4653465346534653
LGC,94,0.6063829787234043,27431.73404255319,15.063829787234043,6.851063829787234,1.3191489361702127,1.925531914893617
LZ,201,0.472636815920398,4700.044776119403,11.09452736318408,6.393034825870647,1.2587064676616915,1.9502487562189055
M17,98,0.3877551020408163,-23161.438775510203,10.459183673469388,5.704081632653061,0.9489795918367347,1.6122448979591837
MSE,60,0.2833333333333333,-47041.9,9.983333333333333,4.8,0.65,1.65
MSF,96,0.4895833333333333,14980.375,12.15625,6.09375,0.9583333333333334,1.8645833333333333
MVP,136,0.4338235294117647,-25781.610294117647,10.691176470588236,5.397058823529412,0.9926470588235294,2.051470588235294
NV,147,0.38095238095238093,9418.979591836734,11.727891156462585,5.707482993197279,0.9183673469387755,1.748299319727891
OG,140,0.4142857142857143,-6688.671428571429,11.035714285714286,6.135714285714286,1.292857142857143,2.0357142857142856
P1,146,0.4452054794520548,-4065.719178082192,11.835616438356164,5.904109589041096,1.0547945205479452,1.7397260273972603
ROC,140,0.4,-26031.72857142857,11.471428571428572,6.042857142857143,1.0214285714285714,1.7357142857142858
ROX,201,0.5572139303482587,-1236.9651741293533,12.592039800995025,6.756218905472637,1.3233830845771144,1.7412935323383085
SIN,106,0.41509433962264153,-25533.905660377357,13.547169811320755,6.339622641509434,1.0849056603773586,1.2358490566037736
SKT,304,0.7006578947368421,42769.65789473684,13.55921052631579,7.532894736842105,1.368421052631579,2.4407894736842106
SPY,140,0.4714285714285714,-20437.15,12.364285714285714,5.835714285714285,0.8785714285714286,1.2214285714285715
SSB,65,0.24615384615384617,-76009.04615384615,8.138461538461538,4.0,0.47692307692307695,1.8153846153846154
SSG,260,0.5692307692307692,2686.7115384615386,10.9,6.815384615384615,1.4115384615384616,2.0153846153846153
SUP,108,0.6018518518518519,23930.277777777777,13.527777777777779,7.416666666666667,1.4351851851851851,1.9351851851851851
TL,194,0.39690721649484534,-20945.60824742268,12.237113402061855,5.556701030927835,0.8505154639175257,1.6134020618556701
TM,81,0.20987654320987653,-61771.93827160494,10.407407407407407,4.172839506172839,0.5185185185185185,1.1481481481481481
TSM,237,0.6540084388185654,23545.316455696204,14.126582278481013,7.69198312236287,1.358649789029536,2.3333333333333335
UOL,212,0.4858490566037736,-11958.358490566037,12.89622641509434,6.4575471698113205,1.2122641509433962,1.669811320754717
VIT,108,0.39814814814814814,-16468.194444444445,10.685185185185185,5.638888888888889,0.8055555555555556,1.5
ahq,116,0.7155172413793104,46075.50862068965,14.551724137931034,7.689655172413793,1.5775862068965518,2.3017241379310347
