team,games,win_pct,goldDiff,kills,towers,inhibs,dragons
100,4.0,0.75,-13655.5,10.75,7.75,2.25,3.0
17A,9.0,0.3333333333333333,-57323.88888888889,9.777777777777779,4.888888888888889,0.6666666666666666,1.0
7h,74.0,0.44594594594594594,-10787.81081081081,10.95945945945946,5.513513513513513,1.027027027027027,2.0
A,33.0,0.36363636363636365,-31579.696969696968,14.0,5.393939393939394,0.7575757575757576,1.3333333333333333
AE,75.0,0.36,-33905.21333333333,11.92,5.426666666666667,0.8266666666666667,1.5733333333333333
AF,10.0,0.6,-13123.3,9.3,6.1,1.0,1.3
AFR,5.0,0.2,-82109.6,5.4,3.0,0.2,0.6
AFs,220.0,0.5,2466.1136363636365,10.781818181818181,6.377272727272727,1.1363636363636365,1.990909090909091
AHQ,61.0,0.45901639344262296,-6998.918032786885,12.229508196721312,5.655737704918033,0.8688524590163934,1.721311475409836
ALL,6.0,0.5,35470.666666666664,12.833333333333334,7.0,1.3333333333333333,1.3333333333333333
ANC,50.0,0.38,-23082.68,10.86,5.18,0.8,1.04
ANX,32.0,0.71875,19746.5,13.6875,7.40625,1.84375,2.5
APX,53.0,0.4716981132075472,24046.075471698114,12.283018867924529,6.622641509433962,1.2264150943396226,2.0
AS,27.0,0.25925925925925924,-57179.851851851854,11.444444444444445,4.37037037037037,0.5925925925925926,1.6296296296296295
ASC,6.0,0.0,-132326.33333333334,12.833333333333334,3.1666666666666665,0.5,1.3333333333333333
AUR,130.0,0.5692307692307692,4110.069230769231,15.153846153846153,6.892307692307693,1.2846153846153847,1.9615384615384615
AV,119.0,0.48739495798319327,-1484.5294117647059,13.361344537815127,6.176470588235294,0.9411764705882353,1.73109243697479
B2K,24.0,0.25,-45974.625,10.333333333333334,4.75,0.7916666666666666,1.6666666666666667
BC,23.0,0.13043478260869565,-101908.21739130435,8.173913043478262,3.0434782608695654,0.34782608695652173,0.9565217391304348
BE,21.0,0.047619047619047616,-96784.76190476191,5.428571428571429,2.1904761904761907,0.047619047619047616,0.5714285714285714
BGG,16.0,0.3125,-55446.625,12.0625,6.0625,0.875,1.5625
BJK,106.0,0.5471698113207547,3404.566037735849,14.915094339622641,6.528301886792453,1.169811320754717,1.8867924528301887
BKT,6.0,0.0,-132493.0,7.5,1.3333333333333333,0.0,0.3333333333333333
BMR,4.0,0.0,-122550.5,6.75,1.75,0.0,0.5
BPI,14.0,0.2857142857142857,-53681.142857142855,15.285714285714286,4.5,0.7857142857142857,1.7142857142857142
C9,305.0,0.5836065573770491,17111.137704918034,13.537704918032787,7.0688524590163935,1.259016393442623,1.9180327868852458
C9C,3.0,1.0,86620.0,22.666666666666668,10.0,2.3333333333333335,2.3333333333333335
CA,14.0,0.6428571428571429,21909.214285714286,18.142857142857142,6.642857142857143,1.2142857142857142,2.642857142857143
CF,2.0,0.0,-140905.5,4.0,1.5,0.0,0.0
CG,6.0,0.3333333333333333,-41511.833333333336,7.333333333333333,4.333333333333333,0.8333333333333334,1.6666666666666667
CGE,31.0,0.03225806451612903,-114009.64516129032,6.064516129032258,1.064516129032258,0.03225806451612903,0.3870967741935484
CHF,131.0,0.6717557251908397,28592.25954198473,15.335877862595419,7.396946564885496,1.3358778625954197,2.0
CJ,49.0,0.40816326530612246,-26805.061224489797,9.979591836734693,5.775510204081633,1.1020408163265305,1.9591836734693877
CJE,159.0,0.4528301886792453,-2004.3836477987422,11.522012578616351,6.138364779874214,1.069182389937107,2.10062893081761
CLB,2.0,0.0,-218228.5,11.5,2.5,0.0,1.0
CLG,295.0,0.559322033898305,1627.871186440678,13.766101694915255,6.830508474576271,1.2610169491525425,1.9898305084745762
CLK,70.0,0.2571428571428571,-51365.357142857145,12.128571428571428,4.628571428571429,0.5714285714285714,1.2857142857142858
CNB,70.0,0.4142857142857143,-29111.242857142857,11.628571428571428,6.185714285714286,1.1428571428571428,2.057142857142857
COL,5.0,0.4,16077.6,11.4,7.4,1.2,1.4
COW,5.0,0.4,13177.2,15.8,6.2,0.8,1.6
CREW,14.0,0.14285714285714285,-80753.42857142857,9.571428571428571,3.2857142857142856,0.5714285714285714,1.2142857142857142
CRJ,22.0,0.3181818181818182,-52105.59090909091,8.454545454545455,5.136363636363637,0.5454545454545454,1.9545454545454546
CRW,111.0,0.5315315315315315,4037.864864864865,15.54054054054054,6.594594594594595,1.2072072072072073,1.882882882882883
CST,40.0,0.375,-17783.025,13.75,5.6,0.825,2.475
CW,47.0,0.3617021276595745,-19079.36170212766,11.361702127659575,5.1063829787234045,0.851063829787234,2.0638297872340425
CWA,,,,,,,
Crew,2.0,0.0,-152666.5,6.5,2.0,0.0,1.0
D9,57.0,0.5087719298245614,-4097.0,12.263157894736842,6.56140350877193,1.3333333333333333,1.8421052631578947
DD,4.0,0.5,8345.75,22.0,5.75,0.75,1.75
DF,14.0,0.07142857142857142,-80660.5,8.428571428571429,2.357142857142857,0.21428571428571427,0.8571428571428571
DFM,79.0,0.7974683544303798,60968.83544303798,14.810126582278482,8.316455696202532,1.5063291139240507,2.2531645569620253
DIG,180.0,0.4388888888888889,-19922.472222222223,11.46111111111111,5.805555555555555,0.9833333333333333,1.8277777777777777
DLY,2.0,0.5,-119501.0,16.0,5.5,0.5,1.5
DP,173.0,0.5260115606936416,7880.809248554913,13.306358381502891,6.4508670520231215,1.1676300578034682,1.953757225433526
DW,124.0,0.6370967741935484,46432.37096774193,15.07258064516129,7.25,1.2419354838709677,1.8951612903225807
DoR,11.0,0.0,-114025.09090909091,8.090909090909092,1.7272727272727273,0.0,0.36363636363636365
EDG,55.0,0.509090909090909,22875.654545454545,15.654545454545454,6.454545454545454,1.2181818181818183,2.1272727272727274
EEW,55.0,0.32727272727272727,-20762.6,8.836363636363636,4.745454545454545,0.8,1.1818181818181819
EG,3.0,1.0,102399.0,15.666666666666666,11.0,3.3333333333333335,2.0
EL,54.0,0.37037037037037035,-22335.666666666668,10.777777777777779,5.925925925925926,0.9074074074074074,2.1666666666666665
EMF,18.0,0.16666666666666666,-58350.11111111111,7.222222222222222,3.8333333333333335,0.3888888888888889,2.111111111111111
EMP,35.0,0.4,-26737.514285714286,13.542857142857143,5.314285714285714,0.5428571428571428,1.7142857142857142
ESC,69.0,0.43478260869565216,-30839.695652173912,9.36231884057971,5.507246376811594,1.1014492753623188,1.8695652173913044
EUN,17.0,0.29411764705882354,-62513.294117647056,10.352941176470589,4.176470588235294,0.8235294117647058,1.1764705882352942
EVR,4.0,0.25,-99236.25,4.75,4.75,0.25,1.5
